merchant_id,error_count,transaction_volume,total_transaction_amount,risk_score
96246,40,1572,66099.35000133514,20317.40500040054
80770,24,777,66606.3799533546,20224.613986006378
22792,1,132,66034.07007980347,19850.221023941038
72813,9,273,63425.3300511837,19113.09901535511
25717,22,2039,61449.230011984706,19055.26900359541
70903,20,597,61994.230034828186,18785.369010448452
31707,20,579,61942.840051651,18764.5520154953
55060,10,2296,58939.01994867623,18374.505984602867
76639,9,484,59309.01991614699,17941.505974844098
30055,27,2094,56891.82002902031,17706.546008706093
14528,143,25308,32910.1899749469,17522.65699248407
92883,28,1646,55400.20996649563,17125.06298994869
22938,18,2130,54202.31993341446,16906.895980024336
23481,21,2150,54149.100023433566,16898.13000703007
83229,25,2166,53284.76003969461,16645.22801190838
3997,11,456,54678.90007972717,16544.870023918153
49944,17,498,54574.47004985809,16528.541014957427
79050,15,493,53077.86998271942,16077.260994815826
83271,23,3575,49701.26000482589,15992.078001447768
81536,19,1339,51726.750081673265,15927.325024501977
19756,16,1851,50654.80001294613,15758.140003883838
19363,3,198,51968.19976425171,15651.059929275512
61641,17,489,51450.520112752914,15588.656033825873
64057,33,673,51058.68012189865,15532.704036569596
34488,9,481,50837.44007587433,15399.132022762298
68751,22,821,50440.90001078695,15387.370003236085
96049,17,1565,49394.590044260025,15294.677013278006
81477,12,912,48409.349934734404,14801.20498042032
34702,17,1059,47437.640106618404,14555.79203198552
37369,27,733,47164.81999015808,14380.145997047424
73661,6,296,47498.58012568951,14340.774037706853
90865,15,782,46981.00000154972,14334.900000464917
45453,4,222,47474.31994628906,14310.49598388672
81759,25,1138,45960.98003409803,14139.694010229408
27310,22,1112,45944.18003171682,14125.654009515047
48618,12,1094,44736.86003828049,13754.058011484145
32606,17,1604,43406.139991760254,13509.841997528076
12014,15,1459,42393.560044653714,13161.768013396115
70129,10,261,42043.33002996445,12695.299008989334
84682,15,343,41009.42014050484,12411.726042151451
5248,24,1017,39512.150039196014,12168.345011758805
23446,5,240,39392.62003904581,11891.786011713742
65881,14,608,38181.73996579647,11642.521989738942
38958,7,270,37626.57011985779,11371.771035957336
60600,10,1058,36746.469975948334,11345.340992784499
36495,5,167,37033.84002673626,11162.252008020878
52100,1,247,36742.7901083231,11097.33703249693
46965,6,586,36211.25002861023,11041.57500858307
42636,5,260,33838.899936676025,10231.669981002808
4439,15,659,32898.159973302856,10073.147991990858
50292,6,249,33252.58994102478,10052.876982307434
24827,6,267,33200.64995265007,10042.69498579502
46474,9,601,32365.590002417564,9893.577000725269
37555,12,232,32195.5199508667,9733.055985260009
20916,13,538,31447.35013116896,9600.80503935069
84554,4,208,31268.48996734619,9444.546990203857
69965,5,365,30705.259952783585,9323.077985835074
51397,22,584,29547.02999341488,9048.108998024463
41184,8,616,28880.070052981377,8852.021015894412
43422,4,136,28267.300039291382,8522.590011787413
20884,7,899,27453.2499878183,8508.47499634549
88852,13,1191,27127.220018863678,8500.666005659103
75393,3,169,27916.590165138245,8426.877049541472
60594,1,101,27838.359946250916,8382.207983875274
2703,13,836,26667.900032512844,8256.370009753853
89949,5,165,27242.349952697754,8224.204985809327
54730,3,127,26441.829916000366,7971.848974800109
81591,8,288,25709.300015985966,7802.3900047957895
8948,10,282,25708.139963150024,7801.041988945008
94625,8,330,25096.99001967907,7631.297005903721
39261,34,1747,23558.330004682764,7605.199001404829
55555,3,89,25156.790051937103,7574.93701558113
47399,30,1720,23339.229986794293,7529.768996038288
88998,23,1301,23733.419986248016,7519.5259958744045
71397,4,134,24256.889882564545,7318.866964769363
43531,3,101,24278.159977138042,7314.947993141413
85247,30,1673,22540.489991877228,7276.046997563168
86722,7,244,23850.00001335144,7231.000004005432
54773,6,358,23064.22997379303,7029.068992137909
68684,1,93,23255.58015561104,7004.974046683312
38676,3,127,22866.269991904497,6899.1809975713495
8021,15,404,22348.71003177762,6831.813009533285
11722,4,96,22630.61000609398,6819.583001828193
86438,59,9694,12949.38999036327,6816.61699710898
94212,4,149,21864.01008248329,6605.503024744988
79664,11,912,20178.059972807765,6331.41799184233
13154,4,149,20344.649993896484,6149.694998168945
54298,5,206,20013.439996242523,6067.831998872757
76210,6,104,19943.279932647943,6016.583979794384
42858,8,479,19487.94992351532,5993.284977054595
54251,2,94,19595.209968566895,5907.562990570068
63683,6,647,18676.900000572205,5799.570000171661
10792,9,539,18544.180017203093,5728.554005160928
63579,4,165,18773.53991508484,5683.161974525452
58666,11,239,18551.359994009137,5641.507998202741
78052,3,141,18635.979928016663,5634.293978404999
88746,3,83,18670.700087308884,5627.310026192666
83743,7,380,18357.419964313507,5624.025989294052
94901,1,70,18614.039934158325,5605.611980247497
1827,3,112,18532.39005279541,5594.517015838623
85077,11,177,18309.360034942627,5550.308010482788
94989,11,260,17923.759981751442,5459.527994525432
48880,1,92,18004.629999160767,5429.38899974823
10388,3,111,17771.070039749146,5365.821011924743
11901,8,322,17289.200000166893,5286.560000050068
42967,2,149,17357.899938106537,5252.869981431961
95855,3,320,16811.610023736954,5140.683007121086
78605,4,636,16328.78998541832,5091.036995625495
40475,3,133,16748.02996826172,5065.508990478515
27350,1,71,16801.67003107071,5062.201009321212
1238,4,522,16234.899985551834,5028.66999566555
68668,4,164,16175.930003166199,4903.57900094986
37681,7,194,15969.889959216118,4851.966987764835
76721,1,75,15810.289937019348,4765.986981105804
88740,1,112,15518.590000391006,4689.577000117301
23449,6,131,15377.399971961975,4654.919991588592
37972,1,153,15307.010044813156,4638.403013443947
72650,3,103,15171.809955835342,4583.642986750603
50619,4,111,15060.089947223663,4552.926984167098
22465,4,241,14283.819985747337,4359.045995724201
14800,5,235,14266.409953713417,4352.422986114025
66010,4,214,13819.859954118729,4211.757986235619
34256,11,442,13549.240023970604,4201.772007191181
83434,5,207,13649.750046014786,4159.025013804436
61738,3,231,13291.589999049902,4057.9769997149706
47203,2,36,13412.029998779297,4035.2089996337886
55235,5,134,13036.349972724915,3953.104991817474
66428,1,503,12624.850014686584,3938.7550044059753
61541,1,75,12919.770027160645,3898.831008148193
48795,1,146,12714.319949626923,3858.4959848880762
41620,1,32,12298.109987139702,3699.4329961419103
35377,3,69,12250.12996673584,3696.938990020752
66541,1,117,12181.69001802802,3690.0070054084063
40464,1,111,12135.569964885712,3674.370989465713
25857,2,255,11832.370021373034,3627.0110064119103
796,2,157,11760.02998816967,3575.908996450901
87752,3,94,11814.74000865221,3573.822002595663
41782,2,81,11810.949900388718,3568.384970116615
12467,5,156,11398.800034761429,3468.4400104284286
19479,1,123,11313.0299680233,3431.2089904069903
83272,5,226,11196.059997081757,3428.617999124527
21739,4,186,11159.23000574112,3405.169001722336
63467,4,148,11169.669948339462,3396.9009845018386
54343,3,248,11061.33000254631,3393.999000763893
50072,6,216,10941.17002350092,3349.5510070502755
89707,3,356,10796.75,3347.025
44234,3,119,10889.97001361847,3303.8910040855408
81222,1,32,10816.290069580078,3254.887020874023
31263,4,95,10680.699967861176,3234.3099903583525
43400,1,89,10497.540038824081,3176.3620116472243
10054,2,120,10417.690002202988,3162.1070006608966
27213,3,113,10326.25001335144,3132.975004005432
99115,2,178,10218.35003054142,3119.7050091624255
48038,7,158,10224.910039298236,3117.673011789471
40859,3,175,10130.989979028702,3092.9969937086103
79847,7,161,10050.569957733154,3066.270987319946
12076,3,126,9970.339990615845,3030.101997184753
60580,1,140,9954.990005254745,3028.8970015764235
18422,2,213,9802.830014586449,3005.549004375934
53511,1,99,9799.170011520386,2969.8510034561154
10724,4,140,9710.369955778122,2956.7109867334366
72515,3,434,9373.359979011118,2943.4079937033357
100,2,121,9626.879981994629,2925.1639945983884
10156,5,242,9493.579988956451,2922.6739966869354
21205,1,155,9560.719980359077,2915.115994107723
47101,4,153,9525.66997691989,2905.200993075967
35166,6,140,9492.100028276443,2892.030008482933
22375,3,110,9511.999999046326,2887.7999997138973
19751,2,116,9432.019947886467,2865.20598436594
68685,2,76,9467.749958992004,2863.924987697601
6335,3,116,9365.829969286919,2845.7489907860754
42272,2,155,9327.029962599277,2845.408988779783
64688,1,15,9458.93002319336,2842.579006958008
4020,3,150,9302.249992847443,2836.8749978542323
64908,2,232,9159.240005254745,2818.1720015764236
59292,1,382,9005.259977817535,2816.5779933452604
2728,4,76,9234.080001831055,2794.6240005493164
59586,2,129,9161.159993171692,2787.8479979515073
39688,4,199,9075.270006895065,2783.8810020685196
80141,4,217,9013.930024504662,2770.8790073513983
55290,1,162,9033.930007338524,2759.179002201557
24497,2,107,8893.970079421997,2701.091023826599
24437,1,277,8662.06999206543,2682.1209976196287
97879,4,69,8856.869968414307,2679.360990524292
16283,4,217,8672.820004224777,2668.546001267433
29838,4,201,8600.47001194954,2642.0410035848618
57153,1,190,8597.920017123222,2636.776005136967
52205,2,134,8628.779976129532,2629.6339928388593
22892,5,112,8444.130002975464,2568.839000892639
72698,3,216,8298.320000171661,2555.4960000514984
96006,2,98,8380.150009155273,2544.2450027465816
13051,1,148,8266.61000919342,2524.783002758026
21776,1,33,8297.040054321289,2499.412016296387
83070,1,216,8075.839980125427,2487.951994037628
82147,3,77,8154.739952087402,2470.721985626221
19409,1,83,8148.140018463135,2469.7420055389407
94328,7,267,7913.870013445616,2457.0610040336846
11849,3,66,8086.070009231567,2446.82100276947
64032,2,208,7925.060020685196,2440.7180062055586
30907,1,77,8045.490012168884,2437.1470036506653
84960,6,66,8046.7800033688545,2436.234001010656
93554,2,142,7946.740013122559,2427.4220039367674
36385,2,270,7762.559992790222,2410.5679978370667
14532,3,179,7851.749996542931,2410.4249989628793
54139,7,158,7858.729986906052,2407.818996071815
11559,1,204,7805.820015907288,2403.346004772186
40078,1,116,7774.5599848032,2367.5679954409597
12727,5,356,7515.079971313477,2363.323991394043
94298,2,96,7777.409994125366,2362.8229982376097
26516,1,17,7854.319965362549,2361.7959896087646
3637,1,62,7803.909999847412,2360.1729999542235
73578,1,123,7704.000017344952,2348.5000052034857
51961,3,292,7496.590019613504,2337.7770058840515
32457,2,145,7637.670017838478,2335.6010053515433
45580,2,83,7670.820018053055,2326.9460054159163
4076,1,162,7554.050014257431,2315.215004277229
95915,5,67,7636.950004577637,2313.185001373291
33526,5,403,7296.210000425577,2311.763000127673
84248,4,125,7508.750042438507,2291.725012731552
91325,1,83,7537.870031714439,2286.661009514332
92872,2,61,7531.219964027405,2278.4659892082213
12614,4,231,7330.28999042511,2269.986997127533
40682,2,114,7422.939972162247,2261.881991648674
91099,1,53,7403.4000816345215,2237.3200244903564
71003,2,86,7294.720024108887,2215.0160072326657
68389,1,113,7248.990014076233,2208.99700422287
1967,1,181,7170.780010223389,2205.9340030670164
18935,5,101,7204.649975776672,2193.694992733002
44197,3,55,7223.950020670891,2184.885006201267
6458,3,65,7212.139991760254,2184.341997528076
91264,3,378,6894.169997124001,2182.8509991372002
12197,2,190,7077.499994277954,2181.0499982833862
61743,2,75,7142.279981613159,2165.9839944839478
46476,9,81,7080.279972076416,2151.983991622925
47278,5,518,6642.300000306219,2150.0900000918655
83038,1,279,6864.339990735054,2143.401997220516
41548,2,131,7008.989966750145,2142.796990025043
95355,1,142,6997.689997807145,2142.3069993421436
72192,1,17,7094.049957275391,2133.7149871826173
29974,2,172,6875.550003051758,2115.0650009155274
20645,1,99,6938.700033187866,2111.7100099563595
6755,1,55,6933.070007324219,2096.8210021972654
73517,1,109,6874.309997558594,2095.392999267578
47395,2,79,6897.289978981018,2093.6869936943053
5900,5,181,6773.0299961566925,2088.208998847008
69374,4,70,6883.559954166412,2087.6679862499236
23358,3,116,6835.469985127449,2086.6409955382346
93106,1,61,6888.889998912811,2085.366999673843
66032,3,52,6894.540000915527,2085.162000274658
70625,2,87,6815.2600029706955,2071.4780008912085
60510,3,127,6756.289974451065,2066.1869923353197
8706,3,50,6807.400009155273,2058.4200027465818
569,3,80,6764.729959487915,2054.6189878463742
55188,2,113,6727.220049619675,2052.866014885902
3831,4,156,6678.350004434586,2051.9050013303754
97333,5,107,6655.940007448196,2030.8820022344587
58332,3,93,6642.67002427578,2021.9010072827336
88544,1,142,6594.100000798702,2021.2300002396105
53227,2,127,6606.81000572443,2020.943001717329
87071,2,344,6383.840015888214,2019.1520047664642
78860,2,146,6553.809998512268,2010.7429995536802
73081,1,98,6597.269983053207,2008.9809949159621
29103,2,55,6608.739986419678,1999.9219959259033
68102,5,120,6525.749994277954,1995.7249982833862
99173,1,203,6431.499990463257,1990.7499971389768
98123,1,225,6406.6700077056885,1989.9010023117066
15327,1,100,6526.509989976883,1988.3529969930648
95767,2,105,6506.0000286102295,1984.1000085830688
10106,3,165,6394.759990364313,1969.1279971092938
47680,3,153,6391.910019040108,1964.6730057120321
100185,1,64,6482.590019226074,1964.377005767822
10186,2,171,6368.280011773109,1962.5840035319327
29288,1,51,6479.880007743835,1959.6640023231505
53460,2,39,6471.629981994629,1953.9889945983887
17969,2,103,6364.539995551109,1941.0619986653328
63701,4,128,6328.190005660057,1938.457001698017
28823,2,100,6353.669987916946,1936.9009963750839
67390,1,219,6227.110017418861,1934.2330052256582
68490,3,214,6221.989998817444,1931.9969996452332
75380,1,95,6318.450020432472,1924.4350061297416
13948,1,55,6351.0399742126465,1922.211992263794
45989,2,181,6209.099999427795,1917.8299998283385
82268,2,172,6212.309969782829,1916.0929909348488
85268,4,198,6165.1599825024605,1910.547994750738
94983,2,141,6215.799982786179,1907.8399948358533
59452,2,56,6295.009992599487,1906.102997779846
41943,5,450,5872.449992179871,1898.734997653961
88374,9,196,6110.020009458065,1895.4060028374195
3847,1,159,6130.580047607422,1887.2740142822265
26629,2,90,6178.179986476898,1881.2539959430694
78312,2,121,6140.3300149440765,1879.1990044832228
28780,1,74,6186.97000515461,1878.6910015463827
55521,2,53,6204.950010061264,1878.1850030183791
77619,1,54,6191.429990768433,1874.0289972305295
58125,5,107,6126.189995288849,1871.9569985866544
89001,3,154,6080.650017559528,1871.5950052678586
76850,3,162,6063.989976882935,1868.9969930648804
7710,2,60,6158.790011405945,1866.4370034217834
2860,1,91,6127.949958086014,1866.0849874258042
57998,1,59,6154.77996969223,1864.5339909076688
31868,1,127,6055.829979419708,1855.2489938259125
804,1,113,6047.269989013672,1848.4809967041015
24558,1,112,6001.45999109745,1834.437997329235
72241,1,79,6020.649982213974,1830.294994664192
99381,2,234,5834.910006046295,1821.4730018138885
23329,3,162,5904.740020275116,1821.2220060825348
10455,1,111,5946.690005540848,1817.7070016622542
29406,1,52,5998.999977111816,1815.699993133545
8712,1,112,5932.050005912781,1813.6150017738341
29426,1,101,5876.800021648407,1793.740006494522
68765,3,168,5787.270053803921,1787.781016141176
33121,1,60,5887.899975776672,1784.7699927330018
31603,2,154,5781.180015563965,1781.3540046691894
11947,2,160,5769.719997525215,1779.7159992575644
55208,2,141,5774.310000419617,1775.3930001258848
27583,4,134,5748.140013933182,1766.2420041799544
8207,1,62,5823.42000579834,1766.026001739502
72841,3,85,5731.880001068115,1746.2640003204347
96971,7,159,5650.870000600815,1745.7610001802443
86203,2,227,5586.829991281033,1744.94899738431
46417,2,191,5605.1100397109985,1739.6330119132995
97974,1,167,5629.97999382019,1739.493998146057
83072,2,65,5651.470019340515,1715.7410058021544
96343,1,154,5542.720021247864,1709.416006374359
24792,3,90,5594.230016410351,1706.4690049231053
29232,2,215,5454.699994087219,1701.7099982261657
99244,1,62,5602.169997215271,1699.6509991645812
57935,3,65,5583.979995250702,1695.8939985752106
2734,1,110,5541.499976456165,1695.8499929368497
68707,1,39,5594.610025405884,1690.483007621765
84469,1,43,5582.02001953125,1687.906005859375
20302,2,69,5553.449996948242,1687.5349990844727
22879,2,80,5521.350031852722,1681.2050095558166
77521,2,103,5487.070007562637,1677.8210022687913
89705,3,135,5437.139998674393,1672.8419996023179
5299,3,49,5507.900029182434,1668.2700087547303
44682,2,281,5258.64001750946,1662.692005252838
84320,3,231,5304.609991073608,1661.8829973220825
23551,3,50,5480.200027227402,1660.2600081682206
8365,2,128,5398.709991455078,1658.8129974365233
17707,1,227,5297.500009536743,1657.750002861023
51180,6,133,5384.379998445511,1657.6139995336532
13657,2,122,5369.620021343231,1648.2860064029694
77786,2,216,5265.999990105629,1645.3999970316886
24891,1,102,5369.139977455139,1641.7419932365417
100340,1,140,5324.960002601147,1639.888000780344
31258,1,38,5424.569972991943,1639.170991897583
29985,2,131,5329.08998465538,1638.826995396614
35001,3,162,5295.320008277893,1638.3960024833677
42959,4,87,5359.040000200272,1635.4120000600815
5355,2,127,5317.520011484623,1634.156003445387
56041,2,134,5304.18998503685,1632.256995511055
23189,3,21,5389.020004272461,1624.2060012817383
20540,4,184,5217.90998506546,1622.1729955196379
6871,1,95,5309.409984588623,1621.722995376587
92741,3,259,5135.3299922943115,1619.4989976882935
83491,1,34,5356.309982299805,1617.4929946899413
61579,3,95,5291.680016577244,1617.2040049731731
85250,1,106,5274.00000667572,1614.400002002716
50527,1,153,5221.869995296001,1612.8609985888004
91842,1,140,5233.760010004044,1612.5280030012132
9296,4,56,5304.430006027222,1609.7290018081665
99444,3,42,5316.049959659576,1608.6149878978729
6489,2,102,5255.209992557764,1607.9629977673292
86313,2,105,5250.309985041618,1607.3929955124854
96405,2,120,5226.819999456406,1604.8459998369217
78287,1,190,5158.069995999336,1604.820998799801
40538,3,84,5250.760002851486,1601.6280008554459
87351,4,190,5131.590017318726,1598.0770051956176
6134,1,42,5226.809988021851,1581.0429964065552
60644,3,100,5149.409993171692,1576.0229979515075
94717,1,43,5202.529979705811,1574.058993911743
69490,1,160,5070.660007476807,1569.598002243042
2314,6,107,5116.530042767525,1569.4590128302573
32526,2,66,5158.619996547699,1568.1859989643096
12554,2,128,5085.909993648529,1564.9729980945588
61052,2,53,5157.190028309822,1563.8570084929465
635,1,190,4976.970013141632,1550.4910039424897
63694,1,219,4930.6100018024445,1545.2830005407332
17422,2,52,5095.819989204407,1545.145996761322
65362,1,51,5079.729984641075,1539.6189953923226
88647,1,32,5082.9799728393555,1534.8939918518065
92156,1,161,4945.809999465942,1532.4429998397827
53097,2,157,4942.889974415302,1530.7669923245908
19114,2,92,5000.849997520447,1528.654999256134
30989,2,43,5033.7599675655365,1523.8279902696609
25781,2,97,4976.090007781982,1522.7270023345948
55528,2,222,4821.020019412041,1513.7060058236123
62697,4,56,4970.9700050354,1509.6910015106203
46213,4,91,4917.150015830994,1504.0450047492982
21586,1,196,4814.780013799667,1503.6340041399003
31046,1,51,4955.599980354309,1502.3799941062928
47207,5,80,4913.560015678406,1500.0680047035216
75227,4,133,4823.84001159668,1488.652003479004
65698,5,88,4857.829998016357,1485.7489994049072
98372,2,171,4764.72999612987,1481.518998838961
10774,1,45,4887.630029678345,1480.1890089035035
29180,7,105,4814.7599885463715,1478.7279965639113
71036,3,47,4874.890003204346,1477.7670009613037
61730,3,49,4866.030027389526,1475.709008216858
26831,1,37,4876.659947872162,1474.4979843616486
463,1,57,4853.10002040863,1473.430006122589
58320,2,33,4849.7000160217285,1465.6100048065186
91363,4,104,4775.009956598282,1465.3029869794846
2363,2,41,4834.830020904541,1463.5490062713623
34583,1,40,4837.000003814697,1463.5000011444092
72227,2,71,4801.970005825162,1462.6910017475484
25998,3,52,4814.790021896362,1461.2370065689086
25759,3,114,4750.229999065399,1460.46899971962
53566,2,112,4748.069982647896,1458.8209947943687
87576,2,79,4772.569983243942,1456.2709949731827
18357,2,88,4736.630013227463,1448.189003968239
56239,2,40,4784.149990081787,1448.044997024536
52090,8,86,4723.259984493256,1445.9779953479767
24633,1,41,4761.829957962036,1441.2489873886109
1631,1,167,4634.589995384216,1440.876998615265
47650,1,86,4690.379997491837,1433.313999247551
83643,2,66,4703.519991159439,1431.6559973478315
29549,2,100,4657.659997463226,1428.0979992389678
59056,2,180,4560.840008735657,1423.0520026206968
7999,1,98,4641.379992008209,1422.2139976024628
83661,1,39,4691.599980831146,1419.5799942493438
48316,4,101,4622.939989566803,1418.781996870041
29914,3,38,4687.089981079102,1418.7269943237304
17540,8,109,4581.000022172928,1410.2000066518783
49192,2,135,4551.840018033981,1406.8520054101944
14248,2,38,4628.669958114624,1400.8009874343873
36991,2,83,4575.650015830994,1398.395004749298
45928,3,220,4426.450002193451,1395.1350006580353
42160,3,54,4586.469979763031,1393.3409939289093
95310,1,53,4589.29000043869,1393.087000131607
3244,1,101,4537.950020313263,1392.0850060939788
15167,1,114,4511.6800174713135,1388.104005241394
16851,3,182,4430.800010681152,1385.0400032043456
19325,1,37,4565.3900146484375,1381.1170043945312
11433,1,35,4566.280006408691,1380.7840019226076
99631,3,197,4398.6200070381165,1379.886002111435
37986,2,37,4524.980030059814,1369.3940090179444
37481,1,48,4501.400008618832,1365.2200025856494
46687,3,74,4462.559997081757,1362.1679991245271
42638,3,111,4419.569985866547,1360.370995759964
14636,2,244,4266.3800048828125,1353.9140014648438
27664,2,83,4410.809999585152,1348.9429998755454
89738,2,151,4341.4099905490875,1348.5229971647261
27156,1,174,4310.539992153645,1345.7619976460933
31580,4,41,4435.110008239746,1344.4330024719238
23183,3,59,4413.1899971961975,1342.8569991588593
65153,2,52,4409.789981842041,1339.3369945526124
75195,2,187,4266.939994990826,1336.9819984972478
13915,1,112,4336.190001010895,1334.8570003032685
34103,3,126,4316.000000953674,1333.8000002861022
90755,2,157,4263.909986495972,1327.0729959487915
84943,2,40,4376.269989013672,1325.6809967041015
31667,1,59,4357.869999885559,1325.4609999656675
75490,2,41,4344.650009155273,1316.4950027465818
72217,2,71,4309.260005474091,1314.878001642227
11442,1,146,4233.850005805492,1314.3550017416478
75452,1,36,4342.589997887611,1313.9769993662835
29209,4,191,4181.1899790763855,1313.2569937229157
28644,1,145,4226.90000757575,1311.9700022727252
56259,3,90,4271.140013545752,1309.5420040637255
37297,3,86,4274.510029554367,1309.3530088663101
45536,2,89,4272.8299908638,1309.3489972591399
38408,2,78,4279.169986963272,1307.9509960889816
43580,3,251,4100.4399935007095,1306.6319980502128
19122,3,227,4123.970008045435,1306.4910024136304
72681,1,100,4249.279997825623,1305.1839993476867
60379,1,82,4262.28998374939,1303.6869951248168
89219,1,23,4320.859992980957,1303.557997894287
12469,1,74,4269.51998090744,1303.455994272232
22798,2,86,4235.539997577667,1297.2619992733
90513,1,55,4266.2100212574005,1296.76300637722
13369,3,107,4201.08998465538,1293.626995396614
54412,2,59,4243.709954023361,1291.6129862070084
4753,1,72,4231.030000448227,1291.309000134468
